Hanji,POJ,English,Chinese
"小肚","sió-tō͘","Bladder.","膀胱。泌尿系統中儲存尿液的器官。為肌肉與膜質形成的囊，呈卵圓形，位在骨盤腔的前方和腹腔的下方。"
"小腸","sió-tn̂g","Small intestine.","在腸的上部，較大腸細長，上接胃部，下連大腸，有消化和吸收的功用，是人體最重要的消化器官。"
"小說","sió-soat","Novel.","描寫人物故事，有完整布局、情節發展及一貫主題的文學作品。"
"小賣","sió-bē/sió-bōe","Retailer.","零售商。將貨品零星出售給消費者的商人。相反的，「大賣」(tōa-bē)指的就是批發商。"
"小路","sió-lō͘","A small path.","小徑、小道。較狹窄的路。"
"小銀","sió-gîn/sió-gûn","Small-sized spirit money.","小張的冥紙，上面貼有銀箔。"
"小雪","siáu-soat","Minor Snow (solar term).","約當國曆十一月廿二日或廿三日。北方開始下微量的雪，南方收割水稻，或進入下期農作。"
"小鬼仔殼","siáu-kúi-á-khak","Mask.","面具。"
"少女","siàu-lí/siàu-lú","Young girl.","年輕未婚的女孩子。"
"少年","siàu-liân","Youth.","年少狀態。"
"少年家","siàu-liân-ke","Young man.","年輕力壯的小伙子。"
"少數","chió-sò͘","A small number.","數量少、不多。"
"少爺","siàu-iâ","Young master.","有錢、顯貴人家的子弟。"
"少缺","chió-khoeh/chió-kheh","Plenty.","不缺、多得很。多用在反詰口氣。"
"山伯英台","San-phek-Eng-tâi","The Butterfly Lovers (a tragic love story).","著名的民間故事及戲曲劇目人物。梁山伯與祝英台同窗三年，才知英台是女扮男裝，二人相愛欲成夫妻，祝家卻將英台許配權貴，山伯相思而死，英台跳入山伯墳塚而亡，二人化為彩蝶，比翼雙飛。後也用來比喻苦戀的悲劇人物。"
"山勢","soaⁿ-sè","The lay of the mountains.","山的形勢。"
"山坪","soaⁿ-phiâⁿ","Hillside land.","山坡地。山凹間或山麓上較平坦的地或可耕地。"
"山尾溜","soaⁿ-bóe-liu/soaⁿ-bé-liu","Mountaintop.","山頂。"
"山崁","soaⁿ-khàm","Cliff.","山崖。山陡直的側面。"
"山崙","soaⁿ-lūn","Hillock.","指地勢較一般平原為高的小山丘。"
"山嶺","soaⁿ-niá","Mountain range.","山脈。連綿的高山。"
"山後鳥","soaⁿ-āu-chiáu","Grey-faced buzzard.","灰面鵟鷹、灰面鷲。禽鳥類。每年十月初至十月底從北半球南下至東南亞一帶渡冬，於臺灣過境期間，可在恆春滿州里附近觀賞。到來年三月底至四月中旬又北返，在彰化八卦山或臺北觀音山地區可看見；因為是由南路而來，又稱為「南路鷹」。"
"山東白仔","soaⁿ-tang-pe̍h-á","Napa cabbage.","包心白菜、山東白菜。葉菜類。營養豐富，具有清熱利尿、降血壓、預防感冒、健胃整腸等功效。"
"山洞","soaⁿ-tōng","Cave.","位在山林之中，自然形成的洞穴。"
"山溝","soaⁿ-kau","Gully.","山澗、山谷。"
"山珍海味","san-tin-hái-bī","Delicacies from the mountains and seas.","山中和海中所生產的各式各樣的珍貴食品。"
"山盟海誓","san-bêng-hái-sè","A solemn pledge of love.","誓言感情如山的堅定、如海的深沉。多用來表示對愛情的真誠不變。"
"山線","soaⁿ-sòaⁿ","A mountain transport route.","穿越山區的交通路線。"
"山腰","soaⁿ-io","Halfway up a mountain.","半山腰、半山坡。半山處，介於山頂和山腳部分。"
"山苳蒿","soaⁿ-tang-o","A type of edible wild plant.","昭和草。草本植物。莖葉鮮綠柔軟，葉緣呈鋸齒狀，花為紅褐色，果實被絨毛。春季為最佳的採集季節，可以食用。遭蟲咬傷或擦傷，也可將莖葉搗碎敷於患部。"
"山谷","soaⁿ-kok","Valley.","山溝。兩山之間低窪且狹窄的地方。"
"山豬","soaⁿ-ti/soaⁿ-tu","Wild boar.","山豬、野豬。身體呈圓桶狀，皮黑又厚，長滿粗毛，鼻子長又硬，牙齒尖利，是雜食性動物，性情十分兇暴。"
"山貉","soaⁿ-hô","A type of large rodent (bamboo rat).","哺乳動物。背部暗褐色，腹部灰白色，體毛剛粗，尾部粗壯，鱗環明顯。善挖地穴居，是臺灣體型最大的鼠類，也是臺灣農作物的剋星。民間多抓來食用，一般山產店多寫作「山河肉」。"
"山貓","soaⁿ-niau","Leopard cat.","雲豹、石虎、狸貓。哺乳動物。頭部有黑色條紋，軀幹有黑褐色斑點，尾部有橫紋，性凶猛，捕食鳥、鼠、蛇、蛙等小動物。"
"山賊","soaⁿ-chha̍t","Mountain bandit.","占據山頭建立營寨或出沒山中的盜賊。"
"山跤","soaⁿ-kha","The foot of a mountain.","山腳。山下靠近平地的部分。"
"山雺","soaⁿ-bông","Mountain mist.","山嵐。山中的霧氣。"
"山頂","soaⁿ-téng","Mountaintop.","山的最高點。"
"山頭","soaⁿ-thâu","Mountaintop.","山頂。"
"川七","chhoan-chhit","Madeira-vine.","蔓生植物。可以入藥，有散血定痛的功效，常和杜仲相配合。嫩葉可以食用，是餐廳常見的野菜佳餚。"
"川芎","chhoan-kiong","A type of medicinal herb.","芎藭。草本植物。可入藥，有調經、活血、潤燥、止痛等療效。大多產於四川，所以稱為「川芎」。"
"川貝","chhoan-pòe","A type of medicinal herb (Fritillaria).","貝母、藥實。草本植物。地下鱗莖為白色，形狀像集貝子，可以入藥。主要產地在中國四川。"
"工事","kang-sū","Construction work.","工程。源自日語「工事（こうじ）」。"
"工人","kang-lâng","Worker.","工人。靠勞力工作，以換取工資的人。"
"工仔","kang-á","Worker.","工人。靠勞力工作，以換取工資的人。"
"工作","kang-chok","Work.","作事、職業。為賺取生活所需的金錢或物質，所從事的腦力或體力的活動。"
"工場","kang-tiûⁿ","Factory.","工廠。把原料製成製造品，或把半成品做成成品的製造場所。工廠裡通常有機器和工人。"
"工夫","kang-hu","Kung fu.","中國功夫。即特殊武術、工技。"
"工寮","kang-liâu","A temporary work shed.","為了工作而搭起的簡易棚子，可以當作休息或存放工具等的地方。"
"工廠","kang-chhiúⁿ","Factory.","工場。擁有生產機器及依生產流程分工的工人，並將原料或半成品製成成品的工作場所；通常包括工作、業務和管理等部門 。"
"工會","kang-hōe","Labor union.","同業工人為維護共同的權益，所聯合組織的團體。"
"工業","kang-gia̍p","Industry.","利用人力、知識、技術、機器等將自然物品加工成新產品的生產事業。"
"工程","kang-têng","Engineering project.","有關製造、建築、開礦、發電、興修水利等，有一定計畫的工作進程。"
"工程師","kang-têng-su","Engineer.","主持工事、管理機械的專門技術人員。"
"工藝","kang-gē","Pastime.","消遣。"
"工課","khang-khòe","Work.","工作、事情。"
"工頭","kang-thâu","Foreman.","領班。領導及管理工人的為首者。"
"巴結","pa-kiat","To flatter.","拍馬屁、奉承別人。"
"巴郎","pa-lang","A type of fish (mackerel).","竹筴魚、四破。魚類。為「真鰺」(竹筴魚)和「藍圓鰺」(四破)的混稱，成魚長度大約為三十公分，以小型蝦蟹類為食，棲息在海底礁石上方的水面海域，一般以外銷日本鮮售為主。"
"巾仔","kin-á/kun-á","A general term for cloths or towels.","布巾類的總稱。"
"干休","kan-hiu","To stop.","停止、罷休。"
"干干仔","kan-kan-á","Of all things.","偏偏。"
"干樂","kan-lo̍k","A spinning top.","陀螺。一種玩具，形狀像海螺，用木頭等材料製成。下面尖端有金屬釘，玩時用繩子纏繞，再用力拋出、抽繩使直立旋轉。"
"干涉","kan-sia̍p","To interfere.","插手管別人的事情。"
"干焦","kan-na","Only.","只有、僅僅。"
"干貝","kan-pòe","Dried scallop.","蚌類扇貝上的肉經乾燥製成的食品。"
"廿一","jia̍p-it/lia̍p-it","Twenty-one.","二十一。"
"弓仔","keng-á","Spring (metal).","彈簧。利用有彈性的材料所製成的零件。"
"弓蕉","keng-chio","Banana.","香蕉。瓜果類，味道香甜。因為果實長形略為彎曲，所以稱為「弓蕉」。"
"弓蕉油","keng-chio-iû","Banana oil.","香蕉油、香蕉水。用酯類、酮類、醇類、醚類和芳香族化合物製成的透明液體，容易揮發，有香蕉氣味。它的酒精溶液可以當作食品香料；混合有機溶劑之後，可以運用在製造噴漆、印刷、或降低漆的黏度等。"
"弓開","keng--khui","To stretch open.","撐開。用力使東西張開。"
"引渡","ín-tō͘","To extradite.","他國罪犯居留在本國境內時，本國政府配合將罪犯送回該國，以接受追訴或懲處。但國際法中，原則上不引渡政治犯。源自日語「引き渡す（ひきわたす）」。"
"引誘","ín-iú","To lure.","誘導、勾引。"
"引起","ín-khí","To cause.","引發、發動。"
"引魂","ín-hûn","To summon a soul.","指招回生者或死者之魂。"
"心事","sim-sū","Something on one's mind.","藏在心中所不為人知的事。"
"心悶","sim-būn","To feel down.","形容內心愁苦煩悶的狀態。"
"心情","sim-chêng","Mood.","內心的情緒。"
"心意","sim-ì","Thought.","想法、看法。"
"心機","sim-ki","Scheme.","謀略、計謀。"
"心火","sim-hóe/sim-hé","Internal heat or anger.","內心的浮躁、激動或者是怒氣。"
"心爽","sim-sóng","To feel refreshed.","心裡舒適暢快。"
"心狂火著","sim-kông-hóe-to̍h/sim-kông-hé-to̍h","To be furious.","氣急攻心、火冒三丈。"
"心理","sim-lí","Psychology.","人腦中的認知、思考、記憶等活動的總稱，也泛指人的一切內心活動。"
"心神","sim-sîn","Mind.","精神、心力。"
"心肝","sim-koaⁿ","Heart.","一個人的心地、心腸。"
"心肝仔囝","sim-koaⁿ-á-kiáⁿ","Darling child.","心肝寶貝。父母對子女的暱稱。"
"心肝窟仔","sim-koaⁿ-khut-á","The bottom of one's heart.","心窩、心坎。胸部的中央、胸口。"
"心肝頭","sim-koaⁿ-thâu","In one's heart.","心裡頭。"
"心腸","sim-tn̂g","Heart.","心地。"
"心腹","sim-pak","Confidant.","親信。十分信任的人、忠誠可靠的人。"
"心血","sim-hiat","Effort.","心力。"
"心行","sim-hēng","Heart.","心地、心腸。"
"心適","sim-sek","Interesting.","有趣。"
"心酸","sim-sng","To feel sad.","傷心、辛酸。心裡頭感到悲傷痛苦。"
"戶口","hō͘-kháu","Household registration.","計算某一地域的家庭及其人口數的計量單位。"
"戶口名","hō͘-kháu-miâ","Registered name.","正名、本名。登記在戶口名簿上的名字，有別一般偏名。"
"戶口抄本","hō͘-kháu-chhau-pún","A copy of the household registration.","戶籍謄本。戶政機關戶籍登記的抄錄本。"
"戶橂","hō͘-tēng","Threshold.","門檻。門下所設的橫木或石板等。"
"手䘼","chhiú-ńg","Sleeve.","衣袖。衣服的袖子，也就是從肩膀以下的部分。"
"手下","chhiú-hā","Subordinate.","部下、部屬。"
"手勢","chhiú-sè","Gesture.","指整個手部的肢體動作，尤其是指動作中的狀態。"
"手印","chhiú-ìn","Fingerprint.","捺在文件上的指模印。"
"手尾","chhiú-bóe/chhiú-bé","Fingertip.","指尖。手掌的指頭、指尖部分。"
"手尾力","chhiú-bóe-la̍t/chhiú-bé-la̍t","Grip strength.","手腕的力氣或手掌的握力。"
"手尾錢","chhiú-bóe-chîⁿ/chhiú-bé-chîⁿ","Money held by the deceased.","過世的人手上或身上所帶的錢。"
"手工","chhiú-kang","Handmade.","依靠雙手製造物品的工夫。"
"手巾仔","chhiú-kin-á/chhiú-kun-á","Handkerchief.","手帕。"
"手底","chhiú-té/chhiú-tóe","Palm.","手掌。"
"手扞仔","chhiú-hōaⁿ-á","Handlebar.","把手。腳踏車、機車或三輪車等的把手。"
"手指","chhiú-chí","Ring (jewelry).","戒指。套在手指頭上的環形飾物。"
"手指頭仔","chhiú-chéng-thâu-á","Finger.","手指。"
"手摺簿仔","chhiú-chih-phō͘-á","Bankbook.","存摺。金融機構發給存款人的小冊子，內容詳細記載存款人的存提記錄，可以做為憑證。"
"手擋","chhiú-tòng","Handbrake.","手剎車。"
"手數料","chhiú-sò͘-liāu","Handling fee.","處理手續所需的費用，即手續費。源自日語「手数料（てすうりょう）」。"
"手曲","chhiú-khiau","The crook of the arm.","整個手臂彎曲起來所形成的部分。"
"手模","chhiú-bô͘","The shape of a hand.","整個手掌的形狀外觀。"
"手橐仔","chhiú-lok-á","Glove.","手套。"
"手機仔","chhiú-ki-á","Mobile phone.","手機、行動電話。"
"手段","chhiú-tōaⁿ","Method.","做事情的技巧、方法。"
"手液","chhiú-sio̍h","Hand sweat.","手汗。手掌部位因體質或緊張所分泌的汗液。"
"手爪","chhiú-jiáu/chhiú-niáu","Fingers.","原意為手指，引申為「行為、習慣」的意思。"
"手痕","chhiú-hûn","Fingerprint.","指紋。"
"手盤","chhiú-pôaⁿ","The back of the hand.","手背。"
"手目","chhiú-ba̍k","Wrist bone.","手腕關節突起的骨頭。"
"手碗","chhiú-óaⁿ","Elbow joint.","手肘的關節。"
"手碗骨","chhiú-óaⁿ-kut","Elbow bone.","手肘關節的骨頭。"
"手筆","chhiú-pit","Handwriting.","筆跡、手跡。親手所寫的文字或所畫的圖畫。"
"手耙","chhiú-pē","A rake.","耙子。用來撥平耕地的農具。"
"手肚","chhiú-tó͘","Biceps.","手臂凸起的肌肉。"
"手股","chhiú-kó͘","Upper arm.","上臂。上肢的一部分，位於肩膀與下臂之間。"
"手術","chhiú-su̍t","Surgery.","開刀。醫生使用醫療器材在病患身上切割患處、縫合傷口以治療疾病的方法。"
"手路","chhiú-lō͘","Special skill.","特殊的手藝、手法。"
"手路菜","chhiú-lō͘-chhài","A signature dish.","拿手好菜。"
"手銃","chhiú-chhèng","Pistol.","手槍。"
"手錶仔","chhiú-pió-á","Wristwatch.","手錶。戴在手上的計時器。"
"手電仔","chhiú-tiān-á","Flashlight.","手電筒。"
"手面","chhiú-bīn","Palm.","手掌。"
"手風琴","chhiú-hong-khîm","Accordion.","西洋鍵盤樂器。彈奏時拉動側邊的風箱，鼓動簧管產生聲音。"
"手骨","chhiú-kut","The bones of the arm.","指人體上肢胳臂的骨頭部分。"
"才子","châi-chú","A talented scholar.","有卓越文才或學問能力的男子。"
"才情","châi-chêng","Talent.","指人的才華、本事、才能。"
"才是","chiah-sī","That's the one.","才是。"
"才會","chiah ē","Only then.","用來連結前後因果關係的詞語。"
"才調","châi-tiāu","Ability.","本事、能力。"
"支出","chi-chhut","Expenditure.","消費、支付的費用、款項。"
"支持","chi-chhî","To support.","維持、支撐。"
"支援","chi-oān","To support.","支持、援助。"
"支票","chi-phiò","Check (bank).","一種以銀行為付款人的憑票即付之匯票。"
"文件","bûn-kiāⁿ","Document.","書札、公文類的統稱。"
"文化","bûn-hòa","Culture.","一種在一個特定地區內生活的群體，依據團體價值所學習得來的行為組合。其所共享的信念、價值觀、行為模式(儀式、風俗習慣)及語言則包括了有形的生活產品(如食物、家具、建築、衣服、工具)及無形的人文概念(如教育、制度、法律)等。"
"文字","bûn-jī/bûn-lī","Writing.","人類用來表示觀念、記錄語言的符號。"
"文學","bûn-ha̍k","Literature.","廣義泛指一切思想的表現，用文字記述的著作。狹義則是指專用藝術的手法，表現思想、情感或者想像的作品。"
"文官","bûn-koaⁿ","Civil official.","受政府機關僱用，擔任文職工作的人員。不包括軍事人員及選舉人員在內。"
"文市","bûn-chhī","Retail business.","零售商行。"
"文憑","bûn-pêng","Diploma.","用來作為憑證的正式文書。"
"文文仔笑","bûn-bûn-á-chhiò","To smile gently.","微笑、淺笑。"
"文旦","bûn-tàn","Pomelo.","瓜果類。果實呈上小下大的洋梨形，果皮粗，呈淺綠色，果肉呈淡黃白色，白底透紅，紅色稍紅等幾種，柔軟多汁，氣味芳香。臺灣地區以麻豆文旦為最有名。"
"文明","bûn-bêng","Civilization.","人類社會進步開化的狀況。"
"文書","bûn-su","Clerk.","公務文件及來往書牘的泛稱，而處理這些事務的人也就被叫做「文書」。"
"文章","bûn-chiong","Article.","主題明確，詞意通順的文字作品。"
"文言","bûn-giân","Classical Chinese.","用古漢語為基礎的書面語。相對於白話。"
"文身","bûn-sin","Tattoo.","紋身、刺青。"
"文雅","bûn-ngá","Elegant.","優美、高雅。"
"斗仔","táu-á","A dipper-shaped container.","形狀像斗的容器。"
"斗概","táu-kài","A tool for leveling grain in a measure.","用來平斗的器具。以前用斗斛量東西時，用來刮平斗口高出部分的長形棒子。"
"方便","hong-piān","Convenient.","便利。"
"方向","hong-hiòng","Direction.","指東西南北上下等區別。"
"方式","hong-sek","Method.","做事或說話的方法和形式。"
"方法","hong-hoat","Method.","為了達到某種目的所採行的步驟或手段。"
"方言","hong-giân","Dialect.","同一語言的地區或社會階層變體。"
"方面","hong-bīn","Aspect.","事物的部分地位。"
"日光燈","ji̍t-kong-teng/li̍t-kong-teng","Fluorescent lamp.","照明用具。利用放電現象及光子激發的螢光作用發光的照明用具。"
"日子","ji̍t-chí/li̍t-chí","Day.","時間、期間。"
"日常","ji̍t-siông/li̍t-siông","Daily.","平常、平日。"
"日後","ji̍t-āu/li̍t-āu","In the future.","以後、將來。"
"日時","ji̍t--sî/li̍t--sî","Daytime.","白天。"
"日時仔","ji̍t--sî-á/li̍t--sî-á","Daytime.","白天。"
"日月蚶","ji̍t-goa̍t-ham/li̍t-goa̍t-ham","A type of scallop.","扇貝、帆立貝。貝類。貝扇為扁平狀，左右兩片貝扇的顏色不一樣，一片為白色，一片為紫褐色，所以叫做「日月蚶」。在海水裡行進時，白色貝扇平躺，紫褐色貝扇會揚起來像帆船揚帆前進。"
"日月蟶","ji̍t-goa̍t-than/li̍t-goa̍t-than","A type of scallop.","扇貝、帆立貝、日月蛤。貝類。貝扇為扁平狀，左右兩片貝扇的顏色不一樣，一片為白色，一片為紫褐色。在海水裡行進時，白色貝扇平躺，紫褐色貝扇會揚起來像帆船揚帆前進。"
"日期","ji̍t-kî/li̍t-kî","Date.","發生某件事的確定日子或者期間。"
"日誌","ji̍t-chì/li̍t-chì","Diary.","日記。用於每天記事情的本子。"
"春分","chhun-hun","Spring Equinox (solar term).","約當國曆三月二十一或二十二日，這一天南北半球的晝夜長短平均。"
"月下老人","goa̍t-hā-nó͘-jîn/goa̍t-hā-nó͘-lîn","The god of marriage.","指主管男女婚姻的神，也有人用以稱呼媒人。"
"月中","goe̍h-tiong/ge̍h-tiong","The middle of the month.","指每一個月的中旬。"
"月來香","goe̍h-lâi-hiong/ge̍h-lâi-hiong","Tuberose.","夜來香。花名。地下有球形的根，地上的莖高達六十多公分。秋天開白色的花，微黃。花被呈現漏斗的形狀，雄蕊有六枚，通常每二朵並生。因為在月亮出現時散發香味，所以稱做「月來香」。"
"月俸","goe̍h-hōng/ge̍h-hōng","Monthly salary.","月薪、月給。公務員或受僱者每個月所領的薪資。"
"月光暝","goe̍h-kng-mê/ge̍h-kng-mî","A moonlit night.","月夜。有月光的夜晚。"
"月內","goe̍h-lāi/ge̍h-lāi","The first month after childbirth.","月子。指婦人生產後一個月之內的時期。"
"月內房","goe̍h-lāi-pâng/ge̍h-lāi-pâng","The room for postpartum confinement.","產婦坐月子的房間。"
"月內風","goe̍h-lāi-hong/ge̍h-lāi-hong","Puerperal fever.","產褥熱。病名。產婦在生產後產道因病菌感染而引起的疾病。主要症狀為發燒、下腹疼痛、陰道流血等。最常感染的部位為子宮內膜。亦稱為「月子病」。"
"月初","goe̍h-chhe/ge̍h-chhoe","The beginning of the month.","月頭、上旬。一個月剛開始的頭幾天。"
"月半","goe̍h-pòaⁿ/ge̍h-pòaⁿ","The 15th day of the lunar month.","陰曆每月的十五日，是一個月裡，月最圓的時候。"
"月外日","goe̍h-gōa-ji̍t/ge̍h-gōa-li̍t","More than a month.","一個多月。"
"月娘","goe̍h-niû/ge̍h-niû","The moon.","月亮。"
"月尾","goe̍h-bóe/ge̍h-bé","The end of the month.","月底。指一個月的最後幾天。"
"月日","goe̍h-ji̍t/ge̍h-li̍t","A month's time.","一個月的時間。"
"月暗暝","goe̍h-àm-mê/ge̍h-àm-mî","A moonless night.","暗夜、月黑天。沒有月光的夜晚。"
"月桃","ge̍h-thô","Shell ginger.","虎子花、良薑。草本植物。高約一至三公尺，葉鞘很長，質地堅韌，可以當作繩索用，葉子可以用來包粽子。種子成分含有健胃劑，可以加工製成強胃散或口味兒仁丹。"
"月琴","goe̍h-khîm/ge̍h-khîm","A two-stringed lute (Taiwanese traditional musical instrument).","弦樂器。用木頭製成，琴身為扁圓形或八角形，有四絃或三絃，用撥子彈奏。臺灣的月琴只有兩絃，因為過去有人行乞時會彈奏月琴伴唱，故俗稱為「乞食琴」(khit-chia̍h-khîm)。"
"月眉","goe̍h-bâi/ge̍h-bâi","Crescent moon.","初三、初四所看見的弦月，由於形狀就像眉毛一樣，因此稱月初所見的月亮為「月眉」。"
"月給","goe̍h-kip/ge̍h-kip","Monthly salary.","月薪、月俸。公務員或受僱者每個月所領的總薪資。源自日語「月給（げっきゅう）」。"
"月經","goe̍h-keng/ge̍h-keng","Menstruation.","指月經來潮，生理成熟的女人每月子宮黏膜脫落，所發生的週期性陰道流血現象，通常約在十四歲到四十五歲之間。"
"月色","goe̍h-sek/ge̍h-sek","Moonlight.","月光。"
"月餅","goe̍h-piáⁿ/ge̍h-piáⁿ","Mooncake.","一種包著餡料的糕餅點心，是中秋節的應景食品。"
"木匠","ba̍k-chhiūⁿ","Carpenter.","木工師父。"
"木屐","ba̍k-kia̍h","Wooden clogs.","以木材為底，上面釘有帶子的木板拖鞋。"
"木工","ba̍k-kang","Carpentry.","從事木器製造的人。"
"木心枋","bo̍k-sim-pang","Blockboard.","木心板、三夾板。厚的三夾板，中間為集成材實心木板，另外兩面貼木紋皮，是常見的建築材料。"
"木材","bo̍k-châi","Lumber.","截斷的原木，經過初步的製材加工，成為提供建築和製作器物用的材料。"
"木棉","bo̍k-mî","Kapok tree.","木本植物。樹幹有瘤刺，枝條成輪狀向四周平伸開展。葉片平滑，花於初春開放，花朵豔麗，為橙紅色系。果子呈現橢圓形，種子上被棉毛，棉毛富有彈性，適合做枕頭、沙發等填充材料。"
"木瓜","bo̍k-koe","Papaya.","番木瓜。植物名，也稱為「木瓜」。番瓜木科番木瓜屬，草質小喬木。葉具長柄，掌狀分裂。全株有乳汁，雌雄異株，果實卵圓形或橢圓形，成熟後為黃色。供生食或製果汁，可入藥。"
"木耳","bo̍k-ní","Wood ear fungus.","蕈菇類。生長在朽腐的樹幹上，成片狀，一邊黏在腐木上，表面向上突出，菌絲體生長後，生子實體，形狀長得像人的耳朵，徑大約一公寸，內面平滑，呈現暗褐色，外面有柔軟的短毛，呈淡褐色。可以供食用。"
"木蝨","ba̍k-sat","Bedbug.","床蝨、臭蟲。身體呈橢圓且扁平，喜愛乾燥，白天大多藏在地板、牆壁或草蓆的縫隙，晚上則爬出來吸食人和牲畜的血，是一種會傳染疾病的寄生蟲。"
"木魚","bo̍k-hî/bo̍k-hû","A wooden fish (percussion instrument).","唸經時用來控制節奏的法器。"
"木麻黃","bo̍k-môa-hông","Casuarina tree.","木本植物。雌雄異株，小枝有關節，葉子退化為鞘狀，有齒裂，圍繞在小枝關節間。具有防風、防砂等用途。鄉間常常用來做行道樹，田間和海濱則用來做防風林。"
"欠債","khiàm-chè","To owe a debt.","拖欠別人財物。"
"欠安","khiàm-an","Unwell.","不平安、身體不適、生病。"
"欠數","khiàm-siàu","To owe a debt.","欠帳。"
"欠用","khiàm-ēng","To need money.","缺錢花用。"
"欠缺","khiàm-khoeh/khiàm-kheh","To lack.","因缺少而需要。"
"欠血","khiàm-hoeh/khiàm-huih","Anemia.","貧血。"
"止喙焦","chí chhùi-ta","To quench thirst.","止渴。"
"止嗽","chí-sàu","To stop coughing.","止咳。"
"止枵","chí-iau","To satisfy hunger.","充飢。吃東西解餓。"
"止疼","chí-thiàⁿ","To stop pain.","使疼痛停止。"
"止血","chí-hoeh/chí-huih","To stop bleeding.","讓血液不再由傷口流出。"
"歹人","pháiⁿ-lâng","Bad person.","壞人、惡人、歹徒。品性、行為不良的人。"
"歹代","pháiⁿ-tāi","A bad deed.","壞事、惡事。"
"歹剃頭","pháiⁿ-thì-thâu","Hard to please.","形容人難取悅，或事情難應付。"
"歹勢","pháiⁿ-sè","Sorry.","不好意思、對不起、抱歉。"
"歹命","pháiⁿ-miā","To have a hard life.","苦命、不幸。命運不好、沒有福份。"
"歹命人","pháiⁿ-miā-lâng","A person with a hard life.","命運坎坷的人。"
"歹喙","pháiⁿ-chhùi","To have a sharp tongue.","常說不得體、負面的話。"
"歹喙斗","pháiⁿ-chhùi-táu","Picky eater.","挑嘴。形容人對食物很挑剔。"
"歹囝","pháiⁿ-kiáⁿ","Bad boy.","不良少年、浪蕩子。"
"歹天","pháiⁿ-thiⁿ","Bad weather.","惡劣的天氣。"
"歹年冬","pháiⁿ-nî-tang","A year of bad harvest.","荒年、歉歲。農作物收成不好的年頭。"
"歹心","pháiⁿ-sim","Evil heart.","壞心。形容人居心不良或心腸惡毒。"
"歹性地","pháiⁿ-sèng-tē/pháiⁿ-sèng-tōe","Bad-tempered.","性情不好，容易發脾氣。"
"歹意","pháiⁿ-ì","Malice.","惡意。"
"歹手爪","pháiⁿ-chhiú-jiáu/pháiⁿ-chhiú-niáu","An injured hand.","形容手部因為受傷而行動不便。"
"歹扭搦","pháiⁿ-liú-la̍k","Hard to please.","難搞、吹毛求疵。形容人的個性難以順服他人，很難照顧，對事物的要求多，容易找他人麻煩。"
"歹款","pháiⁿ-khoán","Bad habits (especially eating).","壞習慣。不懂禮教，多指吃東西的習慣或行為不好。"
"歹死","pháiⁿ-sí","A terrible death.","形容人很兇、很壞，有詛咒人不得好死的意思。"
"歹物","pháiⁿ-mi̍h/pháiⁿ-mn̍gh","Scrap.","報廢的東西。"
"歹症頭","pháiⁿ-chèng-thâu","An incurable disease.","頑疾、不治之症。難以痊癒的惡疾。"
"歹看","pháiⁿ-khòaⁿ","Ugly.","難看的、醜陋的。"
"歹看相","pháiⁿ-khòaⁿ-siùⁿ","An ugly or embarrassing appearance.","難看、出糗的模樣。"
"歹睏","pháiⁿ-khùn","To have difficulty sleeping.","很難入睡。"
"歹積德","pháiⁿ-chek-tek","To not do good deeds.","形容人不做善事、不積陰德。"
"歹空","pháiⁿ-khang","No profit.","無利可圖、不好的事。"
"歹育飼","pháiⁿ-io-chhī","Difficult to raise (of a child).","不容易扶養，指小孩子身體不好、多病。"
"歹腹肚","pháiⁿ-pak-tó͘","Stomachache.","拉肚子、肚子痛。通常指因為飲食不潔而引起的肚痛、胃痛問題。"
"歹話","pháiⁿ-ōe","Bad words.","壞話。毀謗或攻訐他人的言論。"
"歹路","pháiⁿ-lō͘","A bad path.","指不好的途徑、方向。"
"歹運","pháiⁿ-ūn","Bad luck.","背運、倒楣。運氣不好。"
"歹銅舊錫","pháiⁿ-tâng-kū-siah","Scrap metal.","破銅爛鐵。棄置不用的金屬器物。"
"歹食","pháiⁿ-chia̍h","Not tasty.","不好吃、很難吃。"
"歹𤆬頭","pháiⁿ-chhōa-thâu","A bad example.","壞榜樣、不好的帶頭者。"
"毋但","m̄-nā","Not only.","不只、不但。"
"毋值","m̄-ta̍t","Not worth it.","不值得。"
"毋免","m̄-bián","No need to.","不必、不用、不需要。"
"毋准","m̄-chún","Not allowed.","不允許、不答應。"
"毋好","m̄ hó","Not good.","不好、糟糕。"
"毋好勢","m̄ hó-sè","Inconvenient.","不方便、不湊巧。"
"毋情願","m̄-chêng-goān","Unwilling.","不情不願。"
"毋成","m̄-chiâⁿ","Not amount to much.","不成、算不上。"
"毋成人","m̄-chiâⁿ-lâng","A good-for-nothing.","不肖之徒。罵人不像樣。"
"毋成囝","m̄-chiâⁿ-kiáⁿ","Delinquent.","不良少年、小混混。"
"毋成樣","m̄-chiâⁿ-iūⁿ","Unseemly.","不像話、不像樣。"
"毋成物","m̄-chiâⁿ-mi̍h/m̄-chiâⁿ-mn̍gh","A trivial thing.","指微不足道或者無關緊要的事物，有時候是一種客套的用法。"
"毋成猴","m̄-chiâⁿ-kâu","Not up to snuff.","不像樣。形容人不像人，猴子不像猴子。語氣上比「毋成人」(m̄-chiâⁿ-lâng)戲謔。"
"毋才","m̄-chiah","Only then.","……才……。"
